Dataset,tc-t,R/R0
SHWG50_V500_profiles.npz,2.1529981045774003,1.0
SHWG50_V500_profiles.npz,2.150852158631454,0.9997469662173071
SHWG50_V500_profiles.npz,2.1487062126855085,0.9994938582131697
SHWG50_V500_profiles.npz,2.1465602667395625,0.99924067309047
SHWG50_V500_profiles.npz,2.1444143207936164,0.9989874079520902
SHWG50_V500_profiles.npz,2.1422683748476707,0.9987340599009145
SHWG50_V500_profiles.npz,2.1401224289017247,0.9984806260398245
SHWG50_V500_profiles.npz,2.1379764829557786,0.9982271034717017
SHWG50_V500_profiles.npz,2.1358305370098325,0.9979734892994307
SHWG50_V500_profiles.npz,2.133684591063887,0.9977197806258936
SHWG50_V500_profiles.npz,2.1315386451179408,0.997465974553972
SHWG50_V500_profiles.npz,2.1293926991719947,0.9972120681865496
SHWG50_V500_profiles.npz,2.127246753226049,0.9969580586265082
SHWG50_V500_profiles.npz,2.125100807280103,0.9967039429767317
SHWG50_V500_profiles.npz,2.122954861334157,0.9964497183401019
SHWG50_V500_profiles.npz,2.1208089153882113,0.9961953818195007
SHWG50_V500_profiles.npz,2.118662969442265,0.9959409305178122
SHWG50_V500_profiles.npz,2.116517023496319,0.9956863615379179
SHWG50_V500_profiles.npz,2.1143710775503735,0.9954316719827011
SHWG50_V500_profiles.npz,2.1122251316044274,0.9951768589550444
SHWG50_V500_profiles.npz,2.1100791856584813,0.9949219195578296
SHWG50_V500_profiles.npz,2.107933239712535,0.9946668508939405
SHWG50_V500_profiles.npz,2.1057872937665896,0.9944116500662586
SHWG50_V500_profiles.npz,2.1036413478206435,0.9941563141776675
SHWG50_V500_profiles.npz,2.1014954018746974,0.9939008403310499
SHWG50_V500_profiles.npz,2.0993494559287518,0.9936452256292867
SHWG50_V500_profiles.npz,2.0972035099828057,0.9933894671752628
SHWG50_V500_profiles.npz,2.0950575640368596,0.9931335620718593
SHWG50_V500_profiles.npz,2.092911618090914,0.9928775074219599
SHWG50_V500_profiles.npz,2.090765672144968,0.9926213003284461
SHWG50_V500_profiles.npz,2.088619726199022,0.9923649378942013
SHWG50_V500_profiles.npz,2.0864737802530757,0.9921084172221081
SHWG50_V500_profiles.npz,2.08432783430713,0.9918517354150489
SHWG50_V500_profiles.npz,2.082181888361184,0.9915948895759057
SHWG50_V500_profiles.npz,2.080035942415238,0.9913378768075628
SHWG50_V500_profiles.npz,2.0778899964692923,0.991080694212901
SHWG50_V500_profiles.npz,2.075744050523346,0.9908233388948045
SHWG50_V500_profiles.npz,2.0735981045774,0.9905658079561548
SHWG50_V500_profiles.npz,2.0714521586314545,0.9903080984998345
SHWG50_V500_profiles.npz,2.0693062126855084,0.9900502076287274
SHWG50_V500_profiles.npz,2.0671602667395623,0.9897921324457147
SHWG50_V500_profiles.npz,2.0650143207936167,0.9895338700536802
SHWG50_V500_profiles.npz,2.0628683748476706,0.9892754175555062
SHWG50_V500_profiles.npz,2.0607224289017245,0.9890167720540746
SHWG50_V500_profiles.npz,2.0585764829557784,0.9887579306522688
SHWG50_V500_profiles.npz,2.056430537009833,0.9884988904529715
SHWG50_V500_profiles.npz,2.0542845910638867,0.9882396485590643
SHWG50_V500_profiles.npz,2.0521386451179406,0.9879802020734314
SHWG50_V500_profiles.npz,2.049992699171995,0.9877205480989538
SHWG50_V500_profiles.npz,2.047846753226049,0.9874606837385157
SHWG50_V500_profiles.npz,2.045700807280103,0.9872006060949987
SHWG50_V500_profiles.npz,2.043554861334157,0.9869403122712853
SHWG50_V500_profiles.npz,2.041408915388211,0.9866797993702593
SHWG50_V500_profiles.npz,2.039262969442265,0.9864190644948015
SHWG50_V500_profiles.npz,2.037117023496319,0.9861581047477962
SHWG50_V500_profiles.npz,2.0349710775503733,0.9858969172321255
SHWG50_V500_profiles.npz,2.0328251316044272,0.9856354990506713
SHWG50_V500_profiles.npz,2.030679185658481,0.9853738473063175
SHWG50_V500_profiles.npz,2.0285332397125355,0.9851119591019457
SHWG50_V500_profiles.npz,2.0263872937665894,0.9848498315404391
SHWG50_V500_profiles.npz,2.0242413478206434,0.9845874617246805
SHWG50_V500_profiles.npz,2.0220954018746977,0.9843248467575512
SHWG50_V500_profiles.npz,2.0199494559287516,0.9840619837419357
SHWG50_V500_profiles.npz,2.0178035099828056,0.983798869780715
SHWG50_V500_profiles.npz,2.01565756403686,0.9835355019767729
SHWG50_V500_profiles.npz,2.013511618090914,0.9832718774329918
SHWG50_V500_profiles.npz,2.0113656721449678,0.9830079932522534
SHWG50_V500_profiles.npz,2.0092197261990217,0.9827438465374414
SHWG50_V500_profiles.npz,2.007073780253076,0.9824794343914385
SHWG50_V500_profiles.npz,2.00492783430713,0.9822147539171262
SHWG50_V500_profiles.npz,2.002781888361184,0.981949802217388
SHWG50_V500_profiles.npz,2.0006359424152382,0.9816845763951062
SHWG50_V500_profiles.npz,1.9984899964692922,0.9814190735531639
SHWG50_V500_profiles.npz,1.9963440505233463,0.9811532907944436
SHWG50_V500_profiles.npz,1.9941981045774002,0.9808872252218268
SHWG50_V500_profiles.npz,1.9920521586314544,0.980620873938198
SHWG50_V500_profiles.npz,1.9899062126855083,0.9803542340464382
SHWG50_V500_profiles.npz,1.9877602667395624,0.9800873026494311
SHWG50_V500_profiles.npz,1.9856143207936165,0.9798200768500593
SHWG50_V500_profiles.npz,1.9834683748476705,0.9795525537512041
SHWG50_V500_profiles.npz,1.9813224289017246,0.9792847304557502
SHWG50_V500_profiles.npz,1.9791764829557787,0.9790166040665785
SHWG50_V500_profiles.npz,1.9770305370098327,0.9787481716865721
SHWG50_V500_profiles.npz,1.9748845910638868,0.9784794304186142
SHWG50_V500_profiles.npz,1.9727386451179407,0.9782103773655865
SHWG50_V500_profiles.npz,1.9705926991719949,0.9779410096303722
SHWG50_V500_profiles.npz,1.968446753226049,0.9776713243158542
SHWG50_V500_profiles.npz,1.966300807280103,0.9774013185249147
SHWG50_V500_profiles.npz,1.964154861334157,0.9771309893604367
SHWG50_V500_profiles.npz,1.962008915388211,0.9768603339253019
SHWG50_V500_profiles.npz,1.9598629694422651,0.9765893493223942
SHWG50_V500_profiles.npz,1.9577170234963193,0.9763180326545953
SHWG50_V500_profiles.npz,1.9555710775503732,0.9760463810247881
SHWG50_V500_profiles.npz,1.9534251316044273,0.9757743915358553
SHWG50_V500_profiles.npz,1.9512791856584815,0.9755020612906794
SHWG50_V500_profiles.npz,1.9491332397125354,0.9752293873921434
SHWG50_V500_profiles.npz,1.9469872937665895,0.9749563669431296
SHWG50_V500_profiles.npz,1.9448413478206434,0.9746829970465201
SHWG50_V500_profiles.npz,1.9426954018746976,0.9744092748051988
SHWG50_V500_profiles.npz,1.9405494559287515,0.9741351973220472
SHWG50_V500_profiles.npz,1.9384035099828056,0.9738607616999484
SHWG50_V500_profiles.npz,1.9362575640368598,0.9735859650417854
SHWG50_V500_profiles.npz,1.9341116180909137,0.9733108044504398
SHWG50_V500_profiles.npz,1.9319656721449678,0.9730352770287952
SHWG50_V500_profiles.npz,1.929819726199022,0.9727593798797339
SHWG50_V500_profiles.npz,1.927673780253076,0.9724831101061384
SHWG50_V500_profiles.npz,1.92552783430713,0.9722064648108915
SHWG50_V500_profiles.npz,1.923381888361184,0.9719294410968758
SHWG50_V500_profiles.npz,1.921235942415238,0.9716520360669737
SHWG50_V500_profiles.npz,1.9190899964692922,0.9713742468240681
SHWG50_V500_profiles.npz,1.9169440505233462,0.9710960704710413
SHWG50_V500_profiles.npz,1.9147981045774003,0.9708175041107766
SHWG50_V500_profiles.npz,1.9126521586314542,0.9705385448461559
SHWG50_V500_profiles.npz,1.9105062126855084,0.9702591897800623
SHWG50_V500_profiles.npz,1.9083602667395625,0.9699794360153781
SHWG50_V500_profiles.npz,1.9062143207936164,0.9696992806549859
SHWG50_V500_profiles.npz,1.9040683748476706,0.9694187208017689
SHWG50_V500_profiles.npz,1.9019224289017247,0.9691377535586092
